data:text/csv;charset=utf-8
amount,when
-4,2021/11/23
2,2021/11/23
-79556.09375516523,2021/11/23
-173165.51868726005,2021/11/24
-10000,2021/11/25
-10795.478572666167,2021/11/26
-22635.697915314955,2021/11/26
-34410,2021/11/28
-68600.00000000189,2021/11/29
-25042.465904880308,2021/11/29
-170850,2021/11/30
-1000,2021/11/30
-1000,2021/11/30
-146951.27945942766,2021/11/30
-104834.94431443079,2021/11/30
-209400,2021/11/30
-151101.14628,2021/11/30
-19402.182240773247,2021/11/30
-146951.27945942766,2021/11/30
-13631.619516124052,2021/12/1
-150235.41325630542,2021/12/1
-244260,2021/12/1
-60602.579983841664,2021/12/1
-500000,2021/12/1
-15058.979916417547,2021/12/1
-93075.51131354686,2021/12/2
-25260.5873853559,2021/12/3
-100092,2021/12/3
-1493.0716473926716,2021/12/4
-20003.973064474907,2021/12/5
-29991.749777061115,2021/12/5
-6364.42158078771,2021/12/6
48420.42740902608,2021/12/6
-40792.86900715268,2021/12/6
-14116.638798873935,2021/12/7
-2246.128121315742,2021/12/7
-21657.615721291324,2021/12/7
-106150,2021/12/8
-54834.94431443078,2021/12/9
-9947.91404054013,2021/12/10
25780.384991327555,2021/12/10
-60000,2021/12/10
12310.659915609735,2021/12/10
-13886.288282417225,2021/12/11
-126234.3924018574,2021/12/12
-39952.680349387425,2021/12/12
-9727.909894995637,2021/12/12
-9491.272517721767,2021/12/13
296302.5861799339,2021/12/13
-5177.5555443324465,2021/12/13
-4005.647116910807,2021/12/13
-11591.62555941347,2021/12/14
-20072.22806428421,2021/12/14
-31418.63831130788,2021/12/14
-7496.661135090058,2021/12/14
-19266.495823349127,2021/12/15
-9007.141512349557,2021/12/15
-500.44620759558563,2021/12/15
-26206.829420899678,2021/12/16
-324000,2021/12/16
-9419.843386936582,2021/12/17
-15000,2021/12/18
13907.492872701428,2021/12/18
-18037.439988080732,2021/12/19
-500,2021/12/20
-32328.66663442863,2021/12/20
-9518.267170112627,2021/12/21
-9516.552413737836,2021/12/21
109808.81121271501,2021/12/22
-10678.876810741447,2021/12/23
-8249.266246778936,2021/12/24
-9493.91463696289,2021/12/25
-10732.907891246285,2021/12/25
-9493.831939136919,2021/12/26
-12321.661616253645,2021/12/27
-7002.279540282789,2021/12/28
-9629.391262639521,2021/12/28
-9432.671177222863,2021/12/29
87727.82542758188,2021/12/30
-9565.156712290569,2021/12/30
109082.94662333604,2021/12/30
-80952.39972835594,2021/12/30
72112.05450694318,2021/12/30
-15748.67573187921,2021/12/30
-20813.11496835795,2021/12/30
-151033.84584984256,2021/12/31
-12069.540035308688,2021/12/31
-50650.12872710021,2021/12/31
-10671.951727667833,2022/1/1
-10618.217831872433,2022/1/1
-8592.652468600592,2022/1/2
71623.49956094027,2022/1/2
-7599.776535911416,2022/1/2
-10771.873520287196,2022/1/3
-7926.9122240298575,2022/1/4
-179073.09364308292,2022/1/5
-9524.184650505826,2022/1/5
59141.956393185734,2022/1/6
-40936.759949829815,2022/1/6
-20000,2022/1/6
89769.73802084643,2022/1/7
-12602.661240075127,2022/1/7
-7164.456517025696,2022/1/8
-25205.88812321097,2022/1/10
-218367.63304895186,2022/1/11
82459.64733794433,2022/1/11
-93586.1284495508,2022/1/12
11386.771857090833,2022/1/12
-72020.49866156308,2022/1/12
-45000,2022/1/13
-159636.60976383954,2022/1/13
-202097.19717988028,2022/1/13
-106561.05020619006,2022/1/14
-99600,2022/1/15
-9999.997304249779,2022/1/15
-148627.15791260533,2022/1/15
-30458.83409422345,2022/1/16
6619.979215795606,2022/1/16
-35186.97260473757,2022/1/17
-75000,2022/1/19
-125000,2022/1/19
-103934.2116696549,2022/1/19
100047.92518909897,2022/1/19
-199713.23751191914,2022/1/19
16764.893256301526,2022/1/19
484737.2816328434,2022/1/20
-458929.6723814669,2022/1/20
-208550.980456,2022/1/20
-10000,2022/1/20
-41120,2022/1/20
-299061.1492444173,2022/1/20
-15186.959693821995,2022/1/20
-13069.690494537055,2022/1/20
-22564.72525770138,2022/1/20
409004.20477158215,2022/1/20
-117739.19948524881,2022/1/21
-50116.53986011855,2022/1/21
-35400,2022/1/21
459906.6895029833,2022/1/21
20238.94668591018,2022/1/21
-85847.7685830177,2022/1/22
-200000,2022/1/22
-216486.11918329936,2022/1/22
-31888.379069999875,2022/1/23
-10000,2022/1/23
-249741,2022/1/23
-12028.615861804501,2022/1/23
-25747.1281445199,2022/1/23
-129961.55739950978,2022/1/23
-318431.9137761309,2022/1/23
-205650.8409257691,2022/1/23
4975.515441433195,2022/1/24
-3199.9340501388483,2022/1/24
-20643.205016165954,2022/1/24
-29379.41104008557,2022/1/25
-10000,2022/1/25
-7624.018885204464,2022/1/25
-99863.05478012227,2022/1/25
-4437.899767428736,2022/1/25
-127245.75968590613,2022/1/26
-2591.4422692576777,2022/1/26
12289.549767144443,2022/1/26
-1250,2022/1/26
-29925.302485528664,2022/1/26
-161621.98270261858,2022/1/26
-27076.784500637077,2022/1/27
50372.519020125656,2022/1/27
-220010.8072694023,2022/1/27
-211382.93247452378,2022/1/27
326835.86938567617,2022/1/27
-102496.10652555678,2022/1/27
-38966.454447669596,2022/1/28
-95232.54480865227,2022/1/28
-4984.52408222469,2022/1/28
-44783.76247016259,2022/1/28
-3964.189229544536,2022/1/28
-49798.97103892019,2022/1/28
69549.80787954979,2022/1/28
-108700,2022/1/28
-4840,2022/1/28
-10000,2022/1/29
16428.318610714672,2022/1/29
1020.6601805049679,2022/1/29
4212.542999497919,2022/1/30
-26614.313107860315,2022/1/30
-100,2022/1/30
22121.93167045665,2022/1/30
-5781.787617801152,2022/1/30
-148839.20501841954,2022/1/30
-125187.23404291592,2022/1/30
-991800,2022/1/31
990644.2979406002,2022/1/31
-15011.806009193651,2022/1/31
-997.0001381805164,2022/1/31
-18570.91839314131,2022/2/1
6511.611692434923,2022/2/1
-245028.69001102902,2022/2/2
-100105.13038768708,2022/2/2
99999.9388675493,2022/2/2
-577144.5900808908,2022/2/2
551827.6389721702,2022/2/2
8451.727478854053,2022/2/2
-303000,2022/2/2
22099.146528622696,2022/2/2
6903.595494020992,2022/2/2
433539.36207175435,2022/2/3
245097.44321960074,2022/2/3
-8377.350647009232,2022/2/3
6892.351474287352,2022/2/3
8030181.800000001,2022/2/4
